#TYPE System.Diagnostics.EventLogEntry#Application/Software Protection Platform Service/1073758208
"EventID";"MachineName";"Data";"Index";"Category";"CategoryNumber";"EntryType";"Message";"Source";"ReplacementStrings";"InstanceId";"TimeGenerated";"TimeWritten";"UserName";"Site";"Container"
"16384";"DESKTOP-9GCV781";"System.Byte[]";"15171";"(0)";"0";"Information";"Перезапуск службы защиты программного обеспечения успешно запланирован на 2022-02-23T15:47:33Z. Причина: RulesEngine.";"Software Protection Platform Service";"System.String[]";"1073758208";"01.02.2022 21:49:34";"01.02.2022 21:49:34";;;
"1003";"DESKTOP-9GCV781";"System.Byte[]";"15170";"(0)";"0";"Information";"Служба защиты программного обеспечения завершила проверку состояния лицензирования.
Идентификатор приложения=0ff1ce15-a989-479d-af46-f275c6370663
Состояние лицензирования=
1: c47456e3-265d-47b6-8ca0-c30abbd0ca36, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
2: d450596f-894d-49e0-966a-fd39ed4c4c64, 1, 1 [(0 [0x00000000, 1, 0], [(?)( 1 0x00000000)(?)( 2 0x00000000 0 0 msft:rm/algorithm/volume/1.0 0x4004F040 124668)(?)(?)(?)(?)])(1 )(2 )(3 )]

";"Software Protection Platform Service";"System.String[]";"1073742827";"01.02.2022 21:49:03";"01.02.2022 21:49:03";;;
"16394";"DESKTOP-9GCV781";"System.Byte[]";"15169";"(0)";"0";"Information";"Миграция прежних версий без подключения к сети прошла успешно.";"Software Protection Platform Service";"System.String[]";"3221241866";"01.02.2022 21:49:03";"01.02.2022 21:49:03";;;
"0";"DESKTOP-9GCV781";"System.Byte[]";"15168";"(0)";"0";"Information";"Не найдено описание для события с кодом '0' в источнике 'Firefox Default Browser Agent'.  Возможно, на локальном компьютере нет нужных данных реестра или файлов сообщений DLL для отображения сообщений, либо у вас нет прав доступа к ним.  В записи события содержится следующая информация:'INFO - Using HTTP backend wininet.dll'";"Firefox Default Browser Agent";"System.String[]";"0";"01.02.2022 20:48:26";"01.02.2022 20:48:26";;;
"0";"DESKTOP-9GCV781";"System.Byte[]";"15167";"(0)";"0";"Information";"Не найдено описание для события с кодом '0' в источнике 'Firefox Default Browser Agent'.  Возможно, на локальном компьютере нет нужных данных реестра или файлов сообщений DLL для отображения сообщений, либо у вас нет прав доступа к ним.  В записи события содержится следующая информация:'INFO - Using remote settings URL: https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/windows-default-browser-agent/records/state'";"Firefox Default Browser Agent";"System.String[]";"0";"01.02.2022 20:48:26";"01.02.2022 20:48:26";;;
"16384";"DESKTOP-9GCV781";"System.Byte[]";"15166";"(0)";"0";"Information";"Перезапуск службы защиты программного обеспечения успешно запланирован на 2022-02-23T15:47:36Z. Причина: RulesEngine.";"Software Protection Platform Service";"System.String[]";"1073758208";"01.02.2022 20:41:36";"01.02.2022 20:41:36";;;
"258";"DESKTOP-9GCV781";"System.Byte[]";"15165";"(0)";"0";"0";"Модуль оптимизации дисков успешно завершил дефрагментация диска на DEVOPS_VLAD_HDD (G:)";"Microsoft-Windows-Defrag";"System.String[]";"258";"01.02.2022 20:40:41";"01.02.2022 20:40:41";;;
"264";"DESKTOP-9GCV781";"System.Byte[]";"15164";"(0)";"0";"Error";"Модулю оптимизации дисков не удалось завершить повторная оптимизация на DEVOPS_VLAD_HDD (G:) по следующей причине: Оборудование тома не поддерживает запрошенную операцию. (0x8900002A)";"Microsoft-Windows-Defrag";"System.String[]";"2147483912";"01.02.2022 20:40:41";"01.02.2022 20:40:41";;;
"258";"DESKTOP-9GCV781";"System.Byte[]";"15163";"(0)";"0";"0";"Модуль оптимизации дисков успешно завершил дефрагментация диска на COURSES_VLAD_HDD (F:)";"Microsoft-Windows-Defrag";"System.String[]";"258";"01.02.2022 20:40:40";"01.02.2022 20:40:40";;;
"264";"DESKTOP-9GCV781";"System.Byte[]";"15162";"(0)";"0";"Error";"Модулю оптимизации дисков не удалось завершить повторная оптимизация на COURSES_VLAD_HDD (F:) по следующей причине: Оборудование тома не поддерживает запрошенную операцию. (0x8900002A)";"Microsoft-Windows-Defrag";"System.String[]";"2147483912";"01.02.2022 20:40:40";"01.02.2022 20:40:40";;;
"258";"DESKTOP-9GCV781";"System.Byte[]";"15161";"(0)";"0";"0";"Модуль оптимизации дисков успешно завершил дефрагментация диска на ALL_VLAD_HDD (E:)";"Microsoft-Windows-Defrag";"System.String[]";"258";"01.02.2022 20:40:39";"01.02.2022 20:40:39";;;
"264";"DESKTOP-9GCV781";"System.Byte[]";"15160";"(0)";"0";"Error";"Модулю оптимизации дисков не удалось завершить повторная оптимизация на ALL_VLAD_HDD (E:) по следующей причине: Оборудование тома не поддерживает запрошенную операцию. (0x8900002A)";"Microsoft-Windows-Defrag";"System.String[]";"2147483912";"01.02.2022 20:40:39";"01.02.2022 20:40:39";;;
"15";"DESKTOP-9GCV781";"System.Byte[]";"15159";"(0)";"0";"Information";"Состояние Windows Defender успешно изменено на SECURITY_PRODUCT_STATE_ON.";"SecurityCenter";"System.String[]";"15";"01.02.2022 20:40:39";"01.02.2022 20:40:39";;;
"16394";"DESKTOP-9GCV781";"System.Byte[]";"15158";"(0)";"0";"Information";"Миграция прежних версий без подключения к сети прошла успешно.";"Software Protection Platform Service";"System.String[]";"3221241866";"01.02.2022 20:40:38";"01.02.2022 20:40:38";;;
"258";"DESKTOP-9GCV781";"System.Byte[]";"15157";"(0)";"0";"0";"Модуль оптимизации дисков успешно завершил дефрагментация диска на TOSHIBA_GAMES (K:)";"Microsoft-Windows-Defrag";"System.String[]";"258";"01.02.2022 20:40:38";"01.02.2022 20:40:38";;;
"264";"DESKTOP-9GCV781";"System.Byte[]";"15156";"(0)";"0";"Error";"Модулю оптимизации дисков не удалось завершить повторная оптимизация на TOSHIBA_GAMES (K:) по следующей причине: Оборудование тома не поддерживает запрошенную операцию. (0x8900002A)";"Microsoft-Windows-Defrag";"System.String[]";"2147483912";"01.02.2022 20:40:38";"01.02.2022 20:40:38";;;
"258";"DESKTOP-9GCV781";"System.Byte[]";"15155";"(0)";"0";"0";"Модуль оптимизации дисков успешно завершил дефрагментация диска на TOSHIBA_INSTALLERS (J:)";"Microsoft-Windows-Defrag";"System.String[]";"258";"01.02.2022 20:40:38";"01.02.2022 20:40:38";;;
"264";"DESKTOP-9GCV781";"System.Byte[]";"15154";"(0)";"0";"Error";"Модулю оптимизации дисков не удалось завершить повторная оптимизация на TOSHIBA_INSTALLERS (J:) по следующей причине: Оборудование тома не поддерживает запрошенную операцию. (0x8900002A)";"Microsoft-Windows-Defrag";"System.String[]";"2147483912";"01.02.2022 20:40:38";"01.02.2022 20:40:38";;;
"15";"DESKTOP-9GCV781";"System.Byte[]";"15153";"(0)";"0";"Information";"Состояние Windows Defender успешно изменено на SECURITY_PRODUCT_STATE_ON.";"SecurityCenter";"System.String[]";"15";"01.02.2022 20:40:37";"01.02.2022 20:40:37";;;
"258";"DESKTOP-9GCV781";"System.Byte[]";"15152";"(0)";"0";"0";"Модуль оптимизации дисков успешно завершил дефрагментация диска на TOSHIBA_VM'S (I:)";"Microsoft-Windows-Defrag";"System.String[]";"258";"01.02.2022 20:40:37";"01.02.2022 20:40:37";;;
